tijd,C6H5NO2,C6H6,N2O5
91,0.0007623357978629536,0.0209685508639027,0.00753734399625165
92,0.0007763721080546189,0.02104784757413846,0.007546998045686361
93,0.0007783402626185796,0.021267198960574232,0.007705100272098848
94,0.000820684754032604,0.02061151600038749,0.007999383231236197
95,0.0007750083638964522,0.020986808770364646,0.00783061064748997
96,0.0008221057029728772,0.02070583799736045,0.007774277286141434
97,0.0008203305034183413,0.02063731847381481,0.008007563991724486
98,0.0008454523001506359,0.020512012549930313,0.008083412183663628
99,0.0008556129082012928,0.0210541327671156,0.008107924112485352
100,0.0008470026255332075,0.020403474449354232,0.008194083051089396
101,0.0008827921567417472,0.0205436690697428,0.008158620920212132
102,0.0009055368441446047,0.020227945419134568,0.008295185806030005
103,0.0008901523990489938,0.02029952219207508,0.008452825981892668
104,0.0009194546178992101,0.020637101300592143,0.008554171759716244
105,0.0009156246647487325,0.02050125863492777,0.008349600959369746
106,0.0009319217323256448,0.020091940175624348,0.00848317358077129
107,0.0009477048245142776,0.01973528832678462,0.00888857305888912
108,0.0009280965066164024,0.019497870991212085,0.008795238209340361
109,0.0009728713737452352,0.020151367577219796,0.008769342898459938
110,0.0009679811785155301,0.01946727555505334,0.008737898861173292
111,0.0009654297286726896,0.02012838896764706,0.008762778498011251
112,0.0009727745059450236,0.019537573314918157,0.008925483903459819
113,0.0009882095758905662,0.019262803665723287,0.008959371448504746
114,0.0010147515012426543,0.01930826993415712,0.00889466333539309
115,0.0010248156418360972,0.01886483655424527,0.00878785173110741
116,0.0010155047525112599,0.019266615932006494,0.009161937901403799
117,0.0010711880429475039,0.01960178380722863,0.009138723237907105
118,0.001050212373880203,0.018808661222451846,0.00922716212586833
119,0.0010545621690588405,0.019239442580888565,0.009139163361677626
120,0.0010818282696028916,0.01962252847080508,0.009334695157206122
121,0.0010893572750704955,0.019223737274741342,0.009341415000421214
122,0.0010954767472138801,0.018890151487485383,0.00949723831470973
123,0.0010834351242558213,0.01881828036033855,0.009635288239989647
124,0.0011424750737734706,0.019092401886773074,0.010015100801869323
125,0.0011028119455550494,0.018982720749359697,0.009698211857749314
126,0.0011791682667759106,0.018281321878208853,0.009560443602076203
127,0.0011256686868576736,0.017720366523818296,0.009681641227626102
128,0.0011314602826727825,0.018486969148786413,0.009912407605814615
129,0.0012018904006198226,0.018705786974264386,0.009791224597746942
130,0.0011468976395160387,0.01846231824902002,0.00970258605308147
131,0.0012204063131083358,0.018637833595418245,0.009931677011944142
132,0.0011459677158880048,0.01862550384716485,0.010062490224487648
133,0.0012255121157163248,0.017484955401641546,0.01002363390294917
134,0.0012052528196637774,0.018004489425776985,0.01011286641287736
135,0.0012294121848815038,0.017532040479901236,0.010234784090362768
