tijd,m1,m2,v
7.4,6236.872614227258,1240.9549696703061,9.380929889735805
7.5,6253.185665762943,1224.9399464542519,9.382637640326593
7.6000000000000005,6269.212704522018,1209.2055036171255,9.384192715570967
7.7,6284.957339980253,1193.7481317702893,9.38560871986275
7.800000000000001,6300.423156723951,1178.5643028966094,9.386898052583842
7.9,6315.61376553023,1163.650482748586,9.38807202125145
8.0,6330.532823668235,1149.0031318438523,9.389140921783362
8.1,6345.183913857968,1134.6186972759697,9.390114135154914
8.200000000000001,6359.570670484647,1120.4936268987008,9.391000210904696
8.3,6373.696756563685,1106.624370248208,9.391806936917758
8.4,6387.565718975795,1093.0073730906727,9.392541406530684
8.5,6401.181218595832,1079.6390933678724,9.39321008066334
8.6,6414.54688818786,1066.5159952447614,9.393818848052266
8.700000000000001,6427.666306712707,1053.6345476474255,9.394373067651646
8.8,6440.543099848341,1040.9912307939194,9.394877620814121
8.9,6453.1808250909,1028.5825362812693,9.39533695409572
9.0,6465.58300172317,1016.4049709380655,9.395755117147466
9.1,6477.753212627326,1004.4550619788073,9.396135796757179
9.200000000000001,6489.694977854844,992.7293528270441,9.396482349317566
9.3,6501.411819605723,981.2244066234028,9.39679783296618
9.4,6512.907231851084,969.9368037004574,9.397085031061962
9.5,6524.184661827723,958.8631474616824,9.397346477700745
9.600000000000001,6535.24755003347,948.0000653209606,9.39758447867989
9.700000000000001,6546.099299649682,937.3442100909695,9.397801138060963
9.8,6556.743304255674,926.8922609585658,9.397998365210816
9.9,6567.182927493326,916.6409254410684,9.39817790687526
10.0,6577.421501842159,906.5869366874684,9.398341345477178
10.100000000000001,6587.462334001939,896.7270576689575,9.398490127500667
10.200000000000001,6597.308689853937,887.0580790375495,9.398625565821764
10.3,6606.963809997378,877.5768226811924,9.398748856481271
10.4,6616.430899246899,868.2801412446512,9.398861089741912
10.5,6625.713135349094,859.1649204026561,9.398963255097994
10.600000000000001,6634.813661174227,850.2280783277519,9.399056256234696
10.700000000000001,6643.735584783048,841.4665653829044,9.399140910570729
10.8,6652.481986037241,832.8773684126858,9.39921797390444
10.9,6661.055899670433,824.457504045799,9.39928811796772
11.0,6669.46033113672,816.2040265555933,9.399351970959716
11.100000000000001,6677.69824849099,808.1140238303475,9.399410097961313
11.200000000000001,6685.77258325329,800.1846182077846,9.399463008202051
11.3,6693.686229104212,792.4129682210108,9.399511177255045
11.4,6701.442049335559,784.7962677804295,9.399555022905167
11.5,6709.042866167006,777.3317469761081,9.399594938366265
