tijd,C6H5NO2,C6H6,N2O5
31,9.268324427487675e-05,0.016362587678655085,-0.0013332000973239116
32,0.00018898538717062056,0.03382017831409148,0.0029774849760827514
33,0.00011781444759267293,-0.011099164338066406,0.0017658805825035034
34,0.00010660517133105613,0.005264051604134647,0.0026279549107111034
35,0.0002395392427022148,0.07655853096070063,0.003780076152357384
36,0.00022530961360560213,0.02446095904580557,-0.0030345199974908814
37,0.00018288339709931285,0.02791713986699069,0.011729992623088156
38,0.00015886056619923066,0.03414495305496154,0.003350352105990337
39,-3.469035431691395e-05,0.05600739749882734,0.006226905260232708
40,0.0003846207158894932,0.002359591714225652,0.008739983995331473
41,-8.999736007005816e-05,0.04116921780772344,0.011869108098803703
42,2.2077115300815186e-06,0.011210104552258397,0.004181545583751208
43,0.00012051692404213129,-0.014180264053169897,0.004151027603307343
44,-1.571724419929685e-05,0.03780528896941708,0.00031959660432510917
45,0.0006678790519839453,0.005539898537346391,0.0027441590603999233
46,0.0004926837080197774,-0.00587864581515991,0.005067998664477749
47,0.0006495143794443751,-0.01541072463771528,0.00498679563527983
48,0.00036721398976616185,0.045031738566462476,-0.0010165071379790308
49,-9.66174472160351e-05,0.03831905351068981,0.0056678335226316885
50,0.00038967498389845615,0.03377273923261799,0.0014238063489503336
51,0.00039655967980859646,0.03231146175694172,0.0012937441690474578
52,0.0009517068995602348,0.03668904465158063,-0.0008815711635464917
53,0.0005672805828776228,0.000627877552716663,0.008376071037769883
54,0.0007617026143577702,0.004430085978370194,0.00935638616017165
55,0.0005133489297798955,0.04484337639209436,0.014030907283524803
56,0.00028216159341545464,0.006037821062524675,0.0005437473276183012
57,7.082703285254363e-05,0.02254109119127246,0.006704362963347397
58,0.0005045584927129443,0.04445721161535754,0.005142179096806869
59,0.0009959824548611074,0.01782324429701396,0.019170395380074964
60,0.0006774470639712599,0.003448959975408568,-0.00037074768149328915
61,0.0006338302464170732,0.01867776804913631,0.009094552522378768
62,0.0006459044099304105,0.02221529454617789,0.0008245662251071843
63,-0.00023134328496362167,0.013210683416759971,0.010131853049817056
64,0.0005588496025481528,-0.005842759670117537,0.006491496532963222
65,0.0006528962557724101,0.0027507963756575014,0.006470552669743221
66,0.0005104026261188913,-0.0033731322521242738,0.007716674337636339
67,0.0007700730595304221,0.04895599150068684,0.011825502933021998
68,-0.00019052627447508502,0.0014555851989431455,0.008835936455165215
69,0.0007805032534917094,0.03533153654388736,0.028661166536023006
70,0.0008274468803581371,0.04960908407547201,0.011684819800484785
71,0.0008882824184353471,0.01584448574832358,0.010647778521923723
72,0.00012473719443212544,0.017591145274734654,0.0031529835704985185
73,0.0006061498250148124,0.07610465136665345,-0.005376659365543498
74,0.0009636791216224173,-0.014013146182799127,0.0033121600780998874
75,0.0012172569776029958,0.024245695400468732,-0.0004932610339560646
76,0.0001690939278874966,0.03811398472756106,0.0017301708712019756
77,0.0007361826391021078,0.02363368467173634,0.002260634749339928
78,0.0019380231575665615,0.036787879465075564,-0.006725177572865624
79,0.0007447126437028176,0.0075850786004017096,0.012284576070621157
80,0.0001325644814214235,0.01977583376532479,0.010087454986784863
81,0.0012130716413784799,-0.004456837100001804,0.004507772950796551
82,0.00034728299796095007,0.007683525023063629,0.01892708380771663
83,0.0009450786741351362,-0.005759418956478312,0.013260962675005945
84,0.00213522908637153,0.04469313350421318,-0.0036275598246937255
85,0.0003585191176691143,0.04965202047973588,0.0020622105491801155
86,0.001019817703745816,0.03871634955957011,0.0005205454439541997
87,0.000674822785139857,-0.04870357652953164,-0.00017542823122629597
88,0.0005446693433059886,-0.005363139349591914,0.01911771189370755
89,-0.0003182581761142682,0.012072002951610969,0.008289799733073146
90,0.0018335072477938565,-0.009359486723477233,0.016007260153118756
91,0.0007699792417086164,0.00039550053497464793,0.010919458449901484
92,0.0009272250408485165,0.008516812929472232,0.008062538604592604
93,0.00048215076132822804,0.023627751734485634,0.012639503453569498
94,0.0020570541259721654,-0.0050261673152602535,0.02403690425993166
